event_id,user_id,event_date,channel,device,funnel_stage,product_category,spent_time_seconds,action_outcome
10857,28354,2023-02-04,Social Media,Desktop,Product View,Home,145,drop_off
10858,58469,2023-02-27,Website,Desktop,Landing Page,Fashion,91,progress
10859,53185,2023-01-11,Social Media,Mobile,Product View,Electronics,96,progress
10860,22041,2023-02-21,Email,Tablet,Landing Page,Sports,223,progress
10861,72125,2023-02-13,Social Media,Desktop,Add to Cart,Toys,61,drop_off
10862,57375,2023-01-08,Mobile App,Tablet,Add to Cart,Toys,42,purchase
10863,25776,2023-02-26,Social Media,Desktop,Product View,Sports,130,progress
10864,13212,2023-01-23,Website,Mobile,Checkout,Electronics,91,progress
10865,26669,2023-01-02,Website,Mobile,Landing Page,Home,102,progress
10866,92830,2023-01-03,Social Media,Tablet,Landing Page,Home,69,progress
10867,18879,2023-01-22,Email,Tablet,Product View,Sports,212,progress
10868,37897,2023-01-14,Mobile App,Mobile,Checkout,Beauty,146,progress
10869,91915,2023-01-10,Email,Tablet,Landing Page,Sports,149,drop_off
10870,86534,2023-01-17,Email,Desktop,Landing Page,Sports,34,progress
10871,71009,2023-02-23,Mobile App,Desktop,Payment,Sports,247,drop_off
10872,29772,2023-02-13,Social Media,Desktop,Payment,Fashion,237,purchase
10873,89001,2023-01-04,Email,Desktop,Add to Cart,Home,35,progress
10874,64103,2023-01-13,Email,Desktop,Add to Cart,Beauty,81,progress
10875,20610,2023-01-10,Social Media,Desktop,Landing Page,Fashion,132,progress
10876,72545,2023-01-14,Social Media,Tablet,Payment,Electronics,284,purchase
10877,27944,2023-02-11,Social Media,Tablet,Landing Page,Electronics,22,drop_off
10878,84382,2023-01-15,Email,Mobile,Landing Page,Sports,161,progress
10879,47639,2023-02-25,Mobile App,Mobile,Landing Page,Home,264,progress
10880,37205,2023-01-28,Social Media,Tablet,Landing Page,Toys,9,progress
10881,35553,2023-01-06,Social Media,Tablet,Add to Cart,Home,95,drop_off
10882,88142,2023-02-20,Social Media,Mobile,Landing Page,Beauty,137,progress
10883,82341,2023-02-18,Website,Mobile,Payment,Electronics,54,progress
10884,81178,2023-02-07,Social Media,Desktop,Add to Cart,Home,176,drop_off
10885,60000,2023-02-14,Mobile App,Tablet,Product View,Electronics,229,progress
10886,80006,2023-01-29,Email,Mobile,Landing Page,Fashion,269,progress
10887,41438,2023-02-13,Website,Desktop,Product View,Fashion,26,progress
10888,11026,2023-01-18,Mobile App,Desktop,Add to Cart,Fashion,252,drop_off
10889,39100,2023-02-14,Mobile App,Desktop,Checkout,Toys,19,drop_off
10890,84710,2023-01-25,Website,Desktop,Landing Page,Home,107,progress
10891,13551,2023-02-09,Mobile App,Mobile,Add to Cart,Electronics,66,drop_off
10892,43882,2023-01-01,Website,Mobile,Checkout,Fashion,39,progress
10893,81600,2023-02-28,Email,Mobile,Product View,Beauty,270,progress
10894,77514,2023-01-20,Email,Desktop,Landing Page,Beauty,223,progress
10895,95500,2023-01-10,Email,Desktop,Landing Page,Toys,204,progress
10896,30996,2023-01-30,Social Media,Mobile,Product View,Toys,43,progress
10897,76353,2023-02-08,Email,Mobile,Payment,Fashion,185,purchase
10898,64175,2023-02-02,Website,Mobile,Product View,Fashion,80,progress
10899,73639,2023-01-13,Website,Tablet,Landing Page,Sports,238,progress
10900,29298,2023-01-13,Mobile App,Desktop,Product View,Sports,158,drop_off
10901,70344,2023-01-02,Website,Tablet,Landing Page,Sports,134,progress
10902,81042,2023-01-11,Social Media,Mobile,Add to Cart,Beauty,54,progress
10903,16602,2023-02-10,Email,Mobile,Landing Page,Electronics,79,progress
10904,78634,2023-02-14,Email,Desktop,Checkout,Electronics,72,progress
10905,10416,2023-02-06,Email,Desktop,Product View,Beauty,111,progress
10906,70344,2023-02-03,Mobile App,Tablet,Landing Page,Toys,257,purchase
10907,95219,2023-01-05,Email,Tablet,Product View,Sports,38,drop_off
10908,60752,2023-01-01,Website,Mobile,Product View,Beauty,286,progress
10909,76086,2023-02-13,Website,Desktop,Landing Page,Beauty,101,progress
10910,87069,2023-01-04,Social Media,Tablet,Landing Page,Fashion,19,drop_off
10911,58429,2023-01-11,Social Media,Mobile,Landing Page,Home,74,progress
10912,76005,2023-01-02,Email,Tablet,Landing Page,Electronics,256,progress
10913,98816,2023-01-29,Mobile App,Desktop,Checkout,Toys,248,drop_off
10914,47419,2023-01-07,Email,Tablet,Add to Cart,Beauty,283,drop_off
10915,11099,2023-01-14,Website,Desktop,Landing Page,Sports,190,progress
10916,18164,2023-02-03,Mobile App,Mobile,Landing Page,Sports,66,progress
10917,10574,2023-02-09,Social Media,Tablet,Payment,Home,153,progress
10918,43739,2023-02-28,Email,Tablet,Confirmation,Sports,171,drop_off
10919,15836,2023-02-22,Social Media,Tablet,Confirmation,Fashion,88,drop_off
10920,35217,2023-01-17,Email,Mobile,Add to Cart,Sports,74,progress
10921,59433,2023-02-28,Email,Tablet,Product View,Toys,149,progress
10922,27759,2023-01-25,Website,Desktop,Landing Page,Electronics,217,progress
10923,38383,2023-01-05,Website,Mobile,Product View,Toys,199,progress
10924,65377,2023-02-17,Email,Mobile,Landing Page,Electronics,175,progress
10925,51966,2023-02-10,Email,Tablet,Payment,Toys,98,purchase
10926,49805,2023-01-15,Website,Tablet,Product View,Beauty,106,purchase
10927,82847,2023-01-01,Mobile App,Mobile,Confirmation,Sports,114,purchase
10928,32672,2023-02-11,Social Media,Tablet,Checkout,Fashion,152,progress
10929,67516,2023-01-07,Mobile App,Mobile,Landing Page,Toys,290,purchase
10930,78928,2023-02-03,Email,Desktop,Add to Cart,Home,12,drop_off
10931,20524,2023-01-22,Social Media,Mobile,Confirmation,Sports,271,progress
10932,93440,2023-01-07,Mobile App,Tablet,Confirmation,Toys,32,drop_off
10933,67620,2023-01-13,Website,Mobile,Checkout,Fashion,104,drop_off
10934,25655,2023-02-23,Email,Tablet,Product View,Home,298,progress
10935,60816,2023-01-09,Social Media,Mobile,Add to Cart,Sports,282,progress
10936,88943,2023-01-18,Social Media,Desktop,Checkout,Fashion,57,progress
10937,24576,2023-02-01,Mobile App,Mobile,Product View,Fashion,195,progress
10938,15114,2023-01-23,Email,Mobile,Landing Page,Beauty,198,progress
10939,27676,2023-01-03,Social Media,Desktop,Landing Page,Beauty,180,progress
10940,78269,2023-01-18,Email,Mobile,Payment,Electronics,65,purchase
10941,25064,2023-01-22,Email,Mobile,Landing Page,Home,229,progress
10942,63252,2023-01-25,Mobile App,Desktop,Add to Cart,Sports,192,progress
10943,90538,2023-02-14,Email,Tablet,Product View,Toys,263,progress
10944,51498,2023-02-23,Email,Mobile,Product View,Toys,145,drop_off
10945,26412,2023-01-21,Social Media,Tablet,Payment,Home,183,drop_off
10946,29620,2023-01-17,Social Media,Tablet,Product View,Beauty,114,purchase
10947,62677,2023-01-30,Mobile App,Tablet,Product View,Fashion,45,progress
10948,85045,2023-02-08,Website,Mobile,Product View,Fashion,74,drop_off
10949,27730,2023-02-15,Email,Mobile,Payment,Sports,101,purchase
10950,45560,2023-01-03,Email,Tablet,Payment,Electronics,285,purchase
10951,22962,2023-01-21,Social Media,Desktop,Add to Cart,Fashion,103,progress
10952,77733,2023-01-11,Email,Tablet,Payment,Fashion,190,progress
10953,83019,2023-01-27,Mobile App,Desktop,Product View,Sports,252,progress
10954,27689,2023-02-21,Mobile App,Tablet,Landing Page,Toys,197,progress
10955,89406,2023-02-03,Email,Desktop,Landing Page,Fashion,61,drop_off
10956,56943,2023-02-11,Social Media,Mobile,Product View,Toys,64,progress
10957,75666,2023-02-17,Email,Desktop,Landing Page,Sports,30,progress
10958,64038,2023-02-27,Email,Desktop,Add to Cart,Electronics,265,progress
10959,39708,2023-01-24,Email,Mobile,Add to Cart,Beauty,296,progress
10960,45217,2023-02-11,Website,Tablet,Add to Cart,Home,108,purchase
10961,36315,2023-02-01,Website,Tablet,Landing Page,Home,218,progress
10962,85972,2023-01-11,Email,Desktop,Payment,Beauty,105,purchase
10963,40384,2023-02-10,Social Media,Desktop,Product View,Toys,88,progress
10964,62270,2023-01-03,Website,Tablet,Landing Page,Electronics,65,progress
10965,29483,2023-02-22,Email,Mobile,Checkout,Home,96,drop_off
10966,61165,2023-02-10,Website,Tablet,Landing Page,Beauty,17,purchase
10967,19891,2023-01-19,Website,Tablet,Confirmation,Electronics,87,progress
10968,10832,2023-01-04,Website,Mobile,Product View,Beauty,205,drop_off
10969,56611,2023-02-23,Social Media,Mobile,Payment,Home,214,drop_off
10970,50761,2023-02-16,Mobile App,Desktop,Landing Page,Electronics,66,progress
10971,22594,2023-01-31,Social Media,Mobile,Payment,Fashion,14,drop_off
10972,95789,2023-02-17,Email,Tablet,Payment,Home,65,drop_off
10973,95303,2023-02-14,Mobile App,Desktop,Payment,Toys,256,purchase
10974,51260,2023-01-12,Mobile App,Mobile,Product View,Toys,149,progress
10975,98445,2023-02-05,Email,Tablet,Product View,Fashion,292,progress
10976,17405,2023-02-01,Mobile App,Desktop,Add to Cart,Electronics,234,progress
10977,63957,2023-01-26,Social Media,Mobile,Add to Cart,Sports,175,purchase
10978,23892,2023-01-03,Email,Desktop,Payment,Toys,66,purchase
10979,79758,2023-02-13,Email,Desktop,Landing Page,Electronics,64,progress
10980,74839,2023-01-06,Mobile App,Tablet,Product View,Home,149,progress
10981,10121,2023-02-10,Mobile App,Mobile,Product View,Electronics,186,progress
10982,12942,2023-01-27,Social Media,Desktop,Product View,Fashion,22,progress
10983,70081,2023-01-27,Social Media,Desktop,Landing Page,Home,63,progress
10984,85406,2023-02-11,Social Media,Tablet,Landing Page,Beauty,122,purchase
10985,54358,2023-01-09,Email,Tablet,Product View,Toys,248,progress
10986,56678,2023-01-04,Social Media,Desktop,Payment,Home,92,progress
10987,75416,2023-02-26,Email,Tablet,Confirmation,Home,84,purchase
10988,20424,2023-01-06,Email,Desktop,Product View,Fashion,192,progress
10989,76629,2023-01-24,Social Media,Desktop,Product View,Toys,255,progress
10990,82015,2023-02-04,Email,Mobile,Landing Page,Home,176,purchase
10991,88578,2023-02-10,Email,Mobile,Product View,Sports,207,progress
10992,34549,2023-01-04,Social Media,Tablet,Checkout,Electronics,150,progress
10993,98225,2023-01-23,Social Media,Desktop,Confirmation,Sports,296,progress
10994,31586,2023-02-18,Mobile App,Desktop,Add to Cart,Electronics,247,drop_off
10995,62345,2023-01-18,Mobile App,Desktop,Confirmation,Toys,262,progress
10996,42256,2023-02-10,Mobile App,Tablet,Landing Page,Beauty,192,purchase
10997,70028,2023-02-15,Social Media,Mobile,Product View,Toys,129,progress
10998,47652,2023-01-15,Mobile App,Tablet,Product View,Fashion,182,drop_off
10999,87744,2023-02-14,Social Media,Mobile,Product View,Toys,153,drop_off
11000,69840,2023-02-03,Email,Mobile,Landing Page,Toys,43,progress
11001,94351,2023-02-16,Social Media,Tablet,Checkout,Electronics,285,purchase
11002,48657,2023-02-24,Email,Mobile,Payment,Fashion,187,progress
11003,44318,2023-02-10,Email,Tablet,Add to Cart,Home,13,drop_off
11004,91311,2023-01-31,Mobile App,Tablet,Landing Page,Sports,131,progress
11005,37667,2023-02-12,Social Media,Desktop,Landing Page,Sports,270,drop_off
11006,11333,2023-01-27,Email,Tablet,Add to Cart,Toys,130,progress
11007,19761,2023-01-02,Website,Tablet,Product View,Sports,267,progress
11008,67972,2023-02-05,Social Media,Mobile,Landing Page,Fashion,264,progress
11009,90426,2023-02-02,Mobile App,Tablet,Landing Page,Sports,149,progress
11010,42457,2023-01-05,Email,Tablet,Landing Page,Home,140,progress
11011,27188,2023-01-08,Mobile App,Tablet,Landing Page,Fashion,71,progress
11012,65531,2023-01-23,Social Media,Tablet,Add to Cart,Beauty,62,progress
11013,16594,2023-02-28,Mobile App,Mobile,Landing Page,Sports,117,progress
11014,87612,2023-01-05,Website,Mobile,Landing Page,Toys,288,drop_off
11015,57674,2023-01-31,Website,Mobile,Checkout,Sports,71,drop_off
11016,44215,2023-01-15,Social Media,Tablet,Landing Page,Home,187,drop_off
11017,59663,2023-01-23,Website,Tablet,Payment,Fashion,125,purchase
11018,39223,2023-01-19,Mobile App,Mobile,Add to Cart,Home,186,drop_off
11019,17323,2023-02-15,Email,Tablet,Landing Page,Electronics,22,progress
11020,77385,2023-02-19,Website,Mobile,Product View,Toys,185,progress
11021,38371,2023-01-05,Mobile App,Tablet,Landing Page,Home,216,progress
11022,89999,2023-02-11,Social Media,Desktop,Add to Cart,Home,232,drop_off
11023,68956,2023-02-04,Social Media,Mobile,Landing Page,Sports,87,progress
11024,12693,2023-02-17,Email,Desktop,Add to Cart,Toys,227,drop_off
11025,26188,2023-01-10,Mobile App,Desktop,Checkout,Toys,82,drop_off
11026,23206,2023-02-20,Website,Desktop,Landing Page,Beauty,282,progress
11027,50444,2023-02-10,Mobile App,Desktop,Landing Page,Toys,35,drop_off
11028,76960,2023-01-06,Social Media,Mobile,Product View,Home,97,purchase
11029,74983,2023-02-05,Mobile App,Mobile,Product View,Toys,87,progress
11030,69733,2023-01-04,Email,Desktop,Landing Page,Home,65,progress
11031,13704,2023-01-29,Website,Tablet,Product View,Home,200,purchase
11032,94582,2023-02-16,Website,Tablet,Product View,Beauty,240,progress
11033,27058,2023-01-25,Mobile App,Desktop,Landing Page,Beauty,110,drop_off
11034,63040,2023-01-12,Social Media,Tablet,Product View,Toys,93,progress
11035,36497,2023-01-09,Email,Mobile,Landing Page,Beauty,242,progress
11036,30043,2023-01-01,Email,Tablet,Checkout,Sports,12,progress
11037,16891,2023-01-17,Email,Desktop,Landing Page,Beauty,262,progress
11038,77295,2023-02-09,Mobile App,Mobile,Add to Cart,Sports,25,progress
11039,77779,2023-02-01,Email,Tablet,Payment,Home,154,drop_off
11040,31375,2023-02-14,Mobile App,Tablet,Product View,Sports,294,progress
11041,91489,2023-01-28,Mobile App,Mobile,Landing Page,Sports,47,drop_off
11042,24265,2023-02-21,Social Media,Mobile,Checkout,Home,8,progress
11043,45088,2023-01-07,Mobile App,Tablet,Product View,Home,45,progress
11044,69293,2023-02-15,Mobile App,Tablet,Checkout,Fashion,260,drop_off
11045,62398,2023-02-21,Mobile App,Tablet,Payment,Sports,188,drop_off
11046,12340,2023-01-07,Email,Mobile,Landing Page,Electronics,96,progress
11047,51376,2023-02-08,Social Media,Desktop,Payment,Beauty,98,purchase
11048,47232,2023-01-29,Email,Desktop,Landing Page,Home,25,progress
11049,94250,2023-01-22,Mobile App,Desktop,Checkout,Fashion,213,progress
11050,19263,2023-02-11,Email,Tablet,Product View,Fashion,66,progress
11051,19336,2023-02-20,Mobile App,Tablet,Product View,Home,14,drop_off
11052,74894,2023-01-22,Email,Desktop,Checkout,Sports,23,progress
11053,65446,2023-02-17,Website,Mobile,Landing Page,Beauty,254,progress
11054,57287,2023-02-10,Website,Desktop,Landing Page,Electronics,269,progress
11055,12673,2023-02-21,Website,Desktop,Payment,Fashion,181,progress
11056,75367,2023-02-03,Email,Mobile,Landing Page,Toys,67,purchase
11057,90059,2023-02-19,Social Media,Tablet,Landing Page,Toys,150,progress
11058,70825,2023-01-04,Website,Mobile,Product View,Electronics,166,progress
11059,93427,2023-01-09,Social Media,Desktop,Landing Page,Sports,275,progress
11060,95438,2023-01-04,Email,Desktop,Landing Page,Electronics,103,progress
11061,90486,2023-02-14,Website,Mobile,Product View,Fashion,293,progress
11062,75004,2023-02-23,Email,Tablet,Landing Page,Fashion,150,progress
11063,32361,2023-02-16,Email,Tablet,Add to Cart,Sports,251,drop_off
11064,99609,2023-01-11,Email,Mobile,Add to Cart,Toys,13,drop_off
11065,60436,2023-02-19,Mobile App,Desktop,Landing Page,Beauty,250,progress
11066,77582,2023-02-13,Email,Mobile,Payment,Fashion,139,purchase
11067,21645,2023-01-05,Social Media,Desktop,Landing Page,Toys,21,purchase
11068,44098,2023-02-18,Mobile App,Tablet,Confirmation,Beauty,257,purchase
11069,27563,2023-02-24,Website,Mobile,Add to Cart,Home,294,progress
11070,68466,2023-02-08,Mobile App,Tablet,Product View,Electronics,183,progress
11071,50695,2023-02-25,Social Media,Mobile,Add to Cart,Toys,151,purchase
11072,89784,2023-01-18,Website,Tablet,Landing Page,Toys,106,progress
11073,83988,2023-01-25,Social Media,Mobile,Payment,Toys,217,progress
11074,85325,2023-02-18,Email,Desktop,Landing Page,Toys,201,drop_off
11075,44432,2023-02-12,Mobile App,Tablet,Product View,Home,35,progress
11076,10831,2023-02-06,Mobile App,Mobile,Payment,Beauty,210,progress
11077,97141,2023-01-05,Social Media,Mobile,Product View,Fashion,126,progress
11078,97262,2023-02-10,Email,Tablet,Product View,Home,175,drop_off
11079,10726,2023-02-11,Email,Desktop,Add to Cart,Home,278,progress
11080,98330,2023-01-08,Mobile App,Mobile,Product View,Electronics,24,progress
11081,94713,2023-02-28,Website,Desktop,Payment,Fashion,298,purchase
11082,21750,2023-02-11,Email,Mobile,Landing Page,Fashion,157,purchase
11083,12482,2023-01-31,Social Media,Tablet,Product View,Electronics,193,progress
11084,45899,2023-01-18,Social Media,Mobile,Product View,Beauty,118,progress
11085,20115,2023-02-09,Email,Mobile,Add to Cart,Toys,38,drop_off
11086,70177,2023-02-13,Email,Desktop,Checkout,Electronics,48,progress
11087,53633,2023-01-04,Social Media,Desktop,Landing Page,Home,283,progress
11088,10192,2023-02-19,Website,Desktop,Add to Cart,Fashion,75,progress
11089,61407,2023-02-11,Social Media,Mobile,Product View,Beauty,164,progress
11090,59609,2023-02-14,Social Media,Mobile,Payment,Home,224,purchase
11091,64952,2023-02-24,Email,Mobile,Product View,Toys,213,progress
11092,70028,2023-02-26,Mobile App,Tablet,Landing Page,Fashion,110,progress
11093,87063,2023-02-11,Email,Mobile,Add to Cart,Home,217,progress
11094,20956,2023-02-18,Website,Mobile,Landing Page,Electronics,268,progress
11095,66783,2023-02-03,Social Media,Tablet,Payment,Electronics,174,drop_off
11096,29908,2023-01-16,Mobile App,Desktop,Landing Page,Sports,238,progress
11097,48923,2023-02-27,Email,Tablet,Payment,Fashion,263,drop_off
11098,25372,2023-01-20,Email,Tablet,Landing Page,Electronics,61,progress
11099,64809,2023-02-23,Website,Mobile,Product View,Home,234,progress
11100,38875,2023-02-24,Email,Desktop,Landing Page,Electronics,262,drop_off
11101,52202,2023-01-14,Social Media,Desktop,Checkout,Sports,120,progress
11102,88172,2023-01-01,Email,Tablet,Payment,Sports,238,progress
11103,19214,2023-02-10,Email,Desktop,Add to Cart,Sports,170,drop_off
11104,36528,2023-01-04,Email,Desktop,Landing Page,Home,182,progress
11105,17361,2023-01-31,Website,Desktop,Landing Page,Beauty,226,progress
11106,62177,2023-01-08,Email,Tablet,Landing Page,Electronics,237,progress
11107,38869,2023-01-28,Email,Desktop,Product View,Home,10,progress
11108,85521,2023-01-04,Social Media,Desktop,Product View,Electronics,258,drop_off
11109,70309,2023-02-12,Email,Mobile,Payment,Sports,190,purchase
11110,66458,2023-02-13,Mobile App,Desktop,Payment,Sports,176,progress
11111,85399,2023-01-19,Email,Mobile,Payment,Electronics,180,progress
11112,84411,2023-02-09,Email,Tablet,Product View,Electronics,149,progress
11113,82024,2023-01-30,Social Media,Tablet,Landing Page,Beauty,157,progress
11114,19073,2023-02-25,Mobile App,Desktop,Landing Page,Sports,182,drop_off
11115,77013,2023-01-15,Website,Tablet,Checkout,Toys,234,drop_off
11116,74236,2023-02-04,Social Media,Tablet,Payment,Beauty,168,progress
11117,69286,2023-02-24,Mobile App,Mobile,Landing Page,Fashion,102,progress
11118,69673,2023-01-23,Email,Tablet,Product View,Toys,292,purchase
11119,61342,2023-02-04,Email,Desktop,Product View,Beauty,274,progress
11120,43244,2023-02-28,Mobile App,Tablet,Landing Page,Fashion,198,progress
11121,11600,2023-02-25,Website,Tablet,Product View,Toys,195,progress
11122,67707,2023-01-05,Social Media,Mobile,Landing Page,Beauty,68,progress
11123,53640,2023-02-07,Social Media,Desktop,Confirmation,Electronics,108,purchase
11124,35480,2023-02-24,Mobile App,Mobile,Add to Cart,Beauty,59,progress
11125,29842,2023-02-16,Website,Desktop,Product View,Home,96,progress
11126,60050,2023-01-29,Website,Mobile,Product View,Electronics,65,drop_off
11127,80215,2023-01-11,Mobile App,Mobile,Product View,Beauty,293,progress
11128,50446,2023-02-08,Website,Tablet,Landing Page,Fashion,105,drop_off
11129,68901,2023-01-06,Email,Mobile,Landing Page,Electronics,266,progress
11130,84435,2023-01-18,Mobile App,Tablet,Landing Page,Fashion,127,progress
11131,96594,2023-01-07,Social Media,Tablet,Landing Page,Beauty,162,progress
11132,93713,2023-01-16,Email,Tablet,Checkout,Electronics,8,progress
11133,39191,2023-01-08,Website,Mobile,Landing Page,Electronics,64,progress
11134,77195,2023-02-16,Website,Tablet,Payment,Fashion,160,progress
11135,59965,2023-02-21,Website,Desktop,Product View,Home,113,progress
11136,67684,2023-02-08,Website,Mobile,Payment,Beauty,40,progress
11137,50013,2023-01-19,Social Media,Desktop,Product View,Home,226,drop_off
11138,99437,2023-02-21,Website,Mobile,Confirmation,Electronics,117,drop_off
11139,89278,2023-02-18,Mobile App,Tablet,Add to Cart,Home,267,drop_off
11140,30409,2023-02-01,Website,Tablet,Add to Cart,Toys,212,drop_off
11141,19521,2023-02-09,Mobile App,Mobile,Checkout,Sports,292,progress
11142,88187,2023-01-04,Website,Tablet,Add to Cart,Sports,199,progress
11143,65830,2023-02-13,Website,Tablet,Product View,Beauty,207,progress
11144,78502,2023-01-05,Social Media,Mobile,Product View,Electronics,293,progress
11145,66216,2023-02-27,Email,Tablet,Product View,Beauty,61,progress
11146,22585,2023-01-07,Email,Mobile,Add to Cart,Toys,76,purchase
11147,29937,2023-02-23,Social Media,Desktop,Product View,Electronics,159,progress
11148,63638,2023-02-26,Email,Desktop,Landing Page,Sports,299,drop_off
11149,13905,2023-01-22,Social Media,Tablet,Landing Page,Fashion,288,progress
11150,46717,2023-02-13,Website,Mobile,Add to Cart,Sports,186,progress
11151,94873,2023-01-31,Email,Tablet,Payment,Toys,91,purchase
11152,87254,2023-02-14,Social Media,Tablet,Checkout,Beauty,12,progress
11153,33152,2023-01-19,Website,Desktop,Landing Page,Fashion,14,progress
11154,17696,2023-01-13,Website,Mobile,Product View,Electronics,106,progress
11155,78147,2023-02-25,Email,Desktop,Landing Page,Beauty,226,purchase
11156,55553,2023-02-07,Email,Desktop,Add to Cart,Fashion,50,progress
11157,99949,2023-01-20,Social Media,Tablet,Landing Page,Beauty,62,progress
11158,64964,2023-01-17,Website,Tablet,Product View,Home,273,progress
11159,87305,2023-02-23,Social Media,Tablet,Checkout,Fashion,151,purchase
11160,33743,2023-01-24,Website,Tablet,Checkout,Sports,19,purchase
11161,14967,2023-01-06,Website,Desktop,Checkout,Beauty,70,drop_off
11162,40461,2023-01-14,Social Media,Tablet,Product View,Fashion,207,progress
11163,28995,2023-01-29,Email,Tablet,Landing Page,Beauty,288,progress
11164,17191,2023-02-04,Social Media,Tablet,Landing Page,Home,55,progress
11165,98997,2023-01-11,Email,Tablet,Add to Cart,Fashion,208,progress
11166,40774,2023-02-09,Social Media,Tablet,Product View,Home,178,drop_off
11167,44592,2023-01-13,Social Media,Mobile,Landing Page,Sports,211,progress
11168,33833,2023-01-06,Mobile App,Tablet,Checkout,Toys,279,progress
11169,10548,2023-01-08,Website,Mobile,Add to Cart,Toys,236,progress
11170,54416,2023-01-31,Email,Tablet,Landing Page,Home,234,purchase
11171,23061,2023-02-13,Social Media,Desktop,Landing Page,Fashion,197,drop_off
11172,91600,2023-02-04,Social Media,Mobile,Checkout,Fashion,52,drop_off
11173,30590,2023-02-27,Mobile App,Mobile,Checkout,Home,13,progress
11174,11825,2023-02-02,Mobile App,Tablet,Checkout,Beauty,33,progress
11175,41747,2023-01-08,Email,Mobile,Product View,Fashion,222,progress
11176,51913,2023-01-10,Mobile App,Desktop,Checkout,Home,148,drop_off
11177,40766,2023-01-17,Mobile App,Desktop,Checkout,Toys,122,drop_off
11178,36806,2023-02-06,Social Media,Tablet,Landing Page,Beauty,249,progress
11179,85511,2023-02-26,Email,Mobile,Landing Page,Beauty,114,drop_off
11180,31729,2023-02-05,Website,Mobile,Product View,Fashion,214,progress
11181,39188,2023-01-24,Website,Desktop,Product View,Beauty,221,progress
11182,43951,2023-02-24,Social Media,Mobile,Product View,Toys,116,progress
11183,78577,2023-01-03,Social Media,Tablet,Confirmation,Fashion,100,purchase
11184,90360,2023-02-27,Social Media,Desktop,Landing Page,Beauty,148,progress
11185,98963,2023-02-04,Mobile App,Tablet,Landing Page,Beauty,266,progress
11186,34534,2023-01-24,Social Media,Tablet,Product View,Beauty,109,progress
11187,33553,2023-02-06,Mobile App,Tablet,Landing Page,Toys,288,progress
11188,69219,2023-01-02,Email,Desktop,Product View,Toys,184,drop_off
11189,93859,2023-01-24,Email,Tablet,Add to Cart,Fashion,64,progress
11190,59876,2023-01-02,Website,Mobile,Landing Page,Home,6,progress
11191,80581,2023-01-09,Mobile App,Mobile,Landing Page,Fashion,48,progress
11192,36589,2023-02-15,Website,Mobile,Payment,Beauty,235,progress
11193,58925,2023-02-24,Website,Desktop,Landing Page,Electronics,31,progress
11194,58508,2023-01-13,Mobile App,Tablet,Add to Cart,Beauty,293,drop_off
11195,13205,2023-02-19,Mobile App,Mobile,Landing Page,Electronics,287,progress
11196,47433,2023-01-29,Email,Mobile,Confirmation,Beauty,253,purchase
11197,81410,2023-02-02,Email,Desktop,Landing Page,Toys,245,drop_off
11198,73904,2023-01-06,Mobile App,Mobile,Landing Page,Sports,152,progress
11199,87050,2023-02-04,Email,Desktop,Landing Page,Sports,283,progress
11200,14066,2023-02-25,Social Media,Desktop,Landing Page,Sports,79,progress
11201,34158,2023-02-04,Website,Desktop,Add to Cart,Toys,291,progress
11202,29665,2023-02-11,Mobile App,Tablet,Product View,Sports,266,progress
11203,61163,2023-02-21,Social Media,Mobile,Landing Page,Toys,13,progress
11204,57679,2023-02-24,Mobile App,Tablet,Checkout,Beauty,75,drop_off
11205,60976,2023-01-18,Social Media,Mobile,Product View,Electronics,263,progress
11206,30779,2023-02-10,Social Media,Mobile,Add to Cart,Fashion,298,drop_off
11207,32155,2023-01-10,Website,Tablet,Product View,Toys,262,progress
11208,36936,2023-02-20,Social Media,Mobile,Add to Cart,Home,255,drop_off
11209,98684,2023-01-18,Mobile App,Tablet,Add to Cart,Sports,51,progress
11210,60678,2023-01-08,Mobile App,Tablet,Landing Page,Electronics,24,progress
11211,68663,2023-01-05,Email,Desktop,Payment,Toys,140,drop_off
11212,66691,2023-02-06,Mobile App,Tablet,Checkout,Sports,68,progress
11213,44471,2023-01-22,Website,Desktop,Product View,Beauty,42,progress
11214,96248,2023-02-24,Mobile App,Tablet,Product View,Toys,145,progress
11215,29918,2023-02-09,Mobile App,Desktop,Product View,Beauty,92,progress
11216,29097,2023-02-07,Email,Desktop,Payment,Home,117,progress
11217,34319,2023-02-01,Social Media,Tablet,Checkout,Beauty,41,drop_off
11218,23868,2023-02-18,Website,Desktop,Confirmation,Beauty,245,progress
11219,95318,2023-01-13,Website,Mobile,Landing Page,Beauty,238,progress
11220,88446,2023-01-22,Email,Desktop,Product View,Home,177,drop_off
11221,92123,2023-01-03,Email,Tablet,Landing Page,Home,183,purchase
11222,19609,2023-01-09,Mobile App,Mobile,Add to Cart,Fashion,291,drop_off
11223,81711,2023-02-03,Website,Tablet,Checkout,Sports,126,progress
11224,77426,2023-02-18,Email,Desktop,Landing Page,Sports,203,progress
11225,18990,2023-01-06,Website,Mobile,Add to Cart,Electronics,142,progress
11226,47007,2023-02-08,Mobile App,Desktop,Product View,Toys,107,progress
11227,62462,2023-01-02,Mobile App,Mobile,Landing Page,Sports,216,purchase
11228,13846,2023-02-02,Social Media,Tablet,Landing Page,Toys,293,drop_off
11229,76268,2023-01-19,Social Media,Mobile,Product View,Fashion,5,progress
